name,handedness,height,weight,avg,HR,new_avg,new_HR
Mike Smith,R,75,180,0,0,0.0109,0.138
Willie Smith,L,72,182,0.248,46,0.248,46
T.R. Bryden,R,76,190,0,0,0.015,0.104
Jose Arcia,R,75,170,0.215,1,0.215,1
Leon Durham,L,73,185,0.277,147,0.277,147
Tom Makowski,R,71,185,0,0,0.0025,0.109
Paul Householder,B,72,180,0.236,29,0.236,29
Aurelio Rodriguez,R,70,180,0.237,124,0.237,124
Jimmy Stewart,B,72,165,0.237,8,0.237,8
Dick Phillips,L,72,180,0.229,12,0.229,12
Andres Thomas,R,73,170,0.234,42,0.234,42
Ed Crosby,L,74,175,0.22,0,0.22,0
Mike de la Hoz,R,71,175,0.251,25,0.251,25
Frank Taveras,R,72,155,0.255,2,0.255,2
Joe Nossek,R,72,178,0.228,3,0.228,3
Larry Stahl,L,72,175,0.232,36,0.232,36
Jose Cruz,L,72,170,0.284,165,0.284,165
Don Mason,L,71,160,0.205,3,0.205,3
Bill Robinson,R,74,189,0.258,166,0.258,166
Jim Umbarger,L,78,200,0,0,0.0148,0.18
Sal Bando,R,72,195,0.254,242,0.254,242
George Mitterwald,R,74,195,0.236,76,0.236,76
Mike Darr,R,76,190,0,0,0.0181,0.133
Craig Robinson,R,70,165,0.219,0,0.219,0
Bob Tillman,R,76,205,0.232,79,0.232,79
Curt Wardle,L,77,220,0,0,0.0152,0.105
Pat Corrales,R,72,180,0.216,4,0.216,4
Mike Tyson,R,69,170,0.241,27,0.241,27
Rafael Landestoy,B,70,165,0.237,4,0.237,4
Duane Josephson,R,72,190,0.258,23,0.258,23
Duane Walker,L,72,185,0.229,24,0.229,24
Glenn Hubbard,R,69,150,0.244,70,0.244,70
Roger Freed,R,72,190,0.245,22,0.245,22
George Hendrick,R,75,195,0.278,267,0.278,267
Rod Carew,L,72,170,0.328,92,0.328,92
Bob Davis,R,72,180,0.197,6,0.197,6
Toby Harrah,R,72,175,0.264,195,0.264,195
Rick Manning,L,73,180,0.257,56,0.257,56
Israel Sanchez,L,69,170,0,0,0,0.102
Steve Burke,B,74,200,0,0,0.0099,0.132
Gary Matthews,R,74,185,0.281,234,0.281,234
Cesar Geronimo,L,72,165,0.258,51,0.258,51
Billy Bryan,L,76,200,0.216,41,0.216,41
Terry Taylor,R,73,180,0,0,0.0168,0.197
Terry Whitfield,L,73,197,0.281,33,0.281,33
Mario Mendoza,R,71,170,0.215,4,0.215,4
Fred Lynn,L,73,185,0.283,306,0.283,306
Larry Hisle,R,74,193,0.273,166,0.273,166
Graig Nettles,L,72,180,0.248,390,0.248,390
Randy Nosek,R,76,215,0,0,0.0188,0.178
Dave Engle,R,75,210,0.262,31,0.262,31
Narciso Elvira,L,70,160,0,0,0.005,0.124
Mike Easler,L,72,190,0.293,118,0.293,118
Mark Smith,R,74,215,0,0,0.014,0.149
Paul Mitchell,R,73,195,0,0,0.0078,0.163
Rick Sweet,B,73,200,0.234,6,0.234,6
Thurman Munson,R,71,190,0.292,113,0.292,113
Rick Monday,L,75,193,0.264,241,0.264,241
Mike Sadek,R,69,165,0.226,5,0.226,5
Mark Belanger,R,73,170,0.228,20,0.228,20
Ron Hunt,R,72,186,0.273,39,0.273,39
Joe Keough,L,72,185,0.246,9,0.246,9
Butch Edge,R,75,203,0,0,0.0118,0.109
Vic Correll,R,70,185,0.229,29,0.229,29
Jackie Hernandez,R,71,165,0.208,12,0.208,12
Tony Solaita,L,72,210,0.255,50,0.255,50
U L Washington,B,71,175,0.251,27,0.251,27
Gary Mielke,R,75,185,0,0,0.0145,0.142
Rick Henninger,R,78,225,0,0,0.0193,0.15
Joe Foy,R,72,215,0.248,58,0.248,58
Ed Goodson,L,75,180,0.26,30,0.26,30
Mark Brown,B,74,190,0,0,0.0007,0.119
Mickey Klutts,R,71,170,0.241,14,0.241,14
Leroy Stanton,R,73,195,0.244,77,0.244,77
Rafael Vasquez,R,72,160,0,0,0.0195,0.169
Len Whitehouse,L,71,175,0,0,0.0096,0.122
Danny Ainge,R,76,175,0.22,2,0.22,2
Adolfo Phillips,R,73,175,0.247,59,0.247,59
Marv Breeding,R,72,175,0.25,7,0.25,7
Steve Adkins,R,78,210,0,0,0.0052,0.131
Dick McAuliffe,L,71,176,0.247,197,0.247,197
Joe Horlen,R,72,170,0.134,0,0.134,0
Glenn Burke,R,72,195,0.237,2,0.237,2
Tony Mack,R,70,177,0,0,0.0141,0.157
Terry Humphrey,R,75,185,0.211,6,0.211,6
Bill Moran,R,76,210,0,0,0.0194,0.134
Enzo Hernandez,R,68,155,0.224,2,0.224,2
Cesar Gutierrez,R,69,155,0.235,0,0.235,0
Coco Laboy,R,70,165,0.233,28,0.233,28
Ted Kubiak,B,72,175,0.231,13,0.231,13
Jim Morrison,R,71,175,0.26,112,0.26,112
Tom Gilles,R,73,185,0,0,0.008,0.177
Bobby Knoop,R,73,170,0.236,56,0.236,56
Bobby Brown,B,74,190,0.245,26,0.245,26
Tom Hutton,L,71,180,0.248,22,0.248,22
Ron Hodges,L,73,185,0.24,19,0.24,19
Rich Chiles,L,71,170,0.254,6,0.254,6
Tom Paciorek,R,76,215,0.282,86,0.282,86
Gary Woods,R,74,185,0.243,13,0.243,13
Bob Montgomery,R,73,195,0.258,23,0.258,23
Jeff Burroughs,R,73,200,0.261,240,0.261,240
Rusty Staub,L,74,190,0.279,292,0.279,292
Jim Norris,L,70,175,0.264,7,0.264,7
Oscar Gamble,L,71,160,0.265,200,0.265,200
Bob Kammeyer,R,76,210,0,0,0.0149,0.169
George Vukovich,L,72,198,0.268,27,0.268,27
Joe Pactwa,L,71,185,0,0,0.0173,0.121
Craig Reynolds,L,73,175,0.256,42,0.256,42
Paul Blair,R,72,168,0.25,134,0.25,134
Al Cowens,R,73,197,0.27,108,0.27,108
Al Oliver,L,72,195,0.303,219,0.303,219
Dave Hilton,R,71,191,0.213,6,0.213,6
Luis Alvarado,R,69,162,0.214,5,0.214,5
Larry Parrish,R,75,190,0.263,256,0.263,256
Woodie Fryman,R,75,197,0.138,2,0.138,2
Bob Randall,R,74,175,0.257,1,0.257,1
Jim Pankovits,R,70,170,0.25,9,0.25,9
Sherman Corbett,L,76,205,0,0,0.0049,0.185
Carmen Fanzone,R,72,200,0.224,20,0.224,20
Gary Allenson,R,71,185,0.221,19,0.221,19
Milt May,L,72,190,0.263,77,0.263,77
Mike Vail,R,73,180,0.279,34,0.279,34
Nick Esasky,R,75,200,0.25,122,0.25,122
Jim Nettles,L,72,186,0.22,16,0.22,16
Lafayette Currence,B,71,175,0,0,0.0137,0.102
Chris Cannizzaro,R,72,190,0.235,18,0.235,18
Larry Biittner,L,74,205,0.273,29,0.273,29
John Pawlowski,R,74,175,0,0,0.0178,0.158
Mel Stottlemyre,R,73,178,0.16,7,0.16,7
Jack Hardy,R,74,175,0,0,0.0014,0.127
Ron Musselman,R,74,185,0,0,0.0091,0.149
Roy Smalley,B,73,185,0.257,163,0.257,163
Tony Chevez,R,71,177,0,0,0.0107,0.169
Andy Messersmith,R,73,200,0.17,5,0.17,5
Richie Zisk,R,73,200,0.287,207,0.287,207
Dave Chalk,R,70,175,0.252,15,0.252,15
Don Baylor,R,73,190,0.26,338,0.26,338
John Vukovich,R,73,187,0.161,6,0.161,6
Danny Thompson,R,72,183,0.248,15,0.248,15
Joe Simpson,L,75,175,0.242,9,0.242,9
Bill Fahey,L,72,200,0.241,7,0.241,7
Doug Camilli,R,71,195,0.199,18,0.199,18
Bernie Allen,L,72,175,0.239,73,0.239,73
Bruce Bochy,R,75,205,0.239,26,0.239,26
Gary Ignasiak,R,71,185,0,0,0.0021,0.196
Claudell Washington,L,72,190,0.278,164,0.278,164
John Donaldson,L,71,160,0.238,4,0.238,4
Mike Smithson,L,80,215,0,0,0.0018,0.181
John Mayberry,L,75,215,0.253,255,0.253,255
Ken Reitz,R,72,180,0.26,68,0.26,68
Amos Otis,R,71,165,0.277,193,0.277,193
Gene Alley,R,70,160,0.254,55,0.254,55
Ted Sizemore,R,70,165,0.262,23,0.262,23
Dan Briggs,L,72,180,0.195,12,0.195,12
Joe Skalski,R,75,190,0,0,0.014,0.114
